Bird,Mate,Degree,Cohesion,fEggs,mEggs,Aviary,Score
F2RW,MBOD,5,,10.0,11.0,11,0.08339263400559795
FGBD,MGWD,2,,16.0,17.0,11,0.08339263400559795
FNMW,MMOL,2,,1.0,2.0,11,0.08339263400559795
FRG,MND,5,,2.0,3.0,11,0.08339263400559795
FRLR,MO,4,,10.0,11.0,11,0.08339263400559795
FN2R,MW2R,4,,5.0,6.0,11,0.08339263400559795
FWN,MW2R,4,,0.0,6.0,11,0.08339263400559795
FBON,MWMG,2,,18.0,19.0,11,0.08339263400559795
FO2P,MDBR,5,,0.0,1.0,12,0.07966174842676714
FYBL,MDBR,5,,14.0,15.0,12,0.07966174842676714
FBWB,MGRG,3,,3.0,4.0,12,0.07966174842676714
FLD,MGRG,3,,1.0,5.0,12,0.07966174842676714
FLN,MGRG,3,,1.0,6.0,12,0.07966174842676714
FPBM,MGRG,3,,7.0,13.0,12,0.07966174842676714
FRLR,MLNR,2,,17.0,18.0,12,0.07966174842676714
FOY,MNDO,5,,4.0,5.0,12,0.07966174842676714
FGOG,MRBG,4,,9.0,10.0,12,0.07966174842676714
FPOD,MRBG,4,,6.0,16.0,12,0.07966174842676714
FDR,MW2R,5,,3.0,4.0,12,0.07966174842676714
FR2G,MW2R,5,,10.0,14.0,12,0.07966174842676714
FGRN,M2M,3,,0.0,1.0,13,0.10168108234910232
FLG,M2M,3,,13.0,14.0,13,0.10168108234910232
FWN,M2M,3,,3.0,17.0,13,0.10168108234910232
FGYD,MBDY,3,,5.0,6.0,13,0.10168108234910232
FLBM,MBDY,3,,0.0,6.0,13,0.10168108234910232
FLOY,MMG,1,,3.0,4.0,13,0.10168108234910232
FRW,MND,5,,5.0,6.0,13,0.10168108234910232
FYB,MND,5,,0.0,6.0,13,0.10168108234910232
F2RD,MO,1,,8.0,9.0,13,0.10168108234910232
FR2D,MWG,3,,6.0,7.0,13,0.10168108234910232
FRL,MWG,3,,0.0,7.0,13,0.10168108234910232
FNMW,M2YL,3,,0.0,1.0,14,0.08823302193736043
FOWD,M2YL,3,,10.0,11.0,14,0.08823302193736043
FBNM,MB2M,3,,5.0,6.0,14,0.08823302193736043
FYR,MBOD,3,,6.0,7.0,14,0.08823302193736043
F2MO,MDGR,3,,0.0,1.0,14,0.08823302193736043
F2RW,MDGR,3,,3.0,4.0,14,0.08823302193736043
FOMG,MDGR,3,,4.0,8.0,14,0.08823302193736043
FOGO,MDMG,4,,11.0,12.0,14,0.08823302193736043
FGBD,MLB,3,,8.0,9.0,14,0.08823302193736043
