Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FLBM,False,MYLO,0.4098360655737705,25.0,0.0,5,True,False
FM2O,True,MDBR,0.7777777777777778,21.0,0.0,5,True,False
FNGW,True,MBWD,0.6470588235294118,77.0,0.0,5,True,False
FO2R,False,MYLO,0.23076923076923078,9.0,0.0,5,True,False
FOD,True,MGRG,0.9810126582278481,310.0,5.0,5,True,False
FOWD,True,MYLO,0.7463768115942029,103.0,17.0,5,True,False
FPDY,True,MNGO,0.7692307692307693,170.0,0.0,5,True,False
FR2G,True,MN2W,0.6685393258426966,119.0,3.0,5,True,False
FWGW,False,MYLO,0.5068493150684932,37.0,0.0,5,True,False
FBLN,True,MYRM,0.6868686868686869,68.0,0.0,6,True,False
FBNM,True,MLY,0.8864864864864865,164.0,7.0,6,True,False
FBWB,True,MLY,0.6197183098591549,44.0,0.0,6,True,False
FD2M,False,MYRM,0.45714285714285713,16.0,0.0,6,True,False
FGOG,True,MDGR,0.6301369863013698,46.0,11.0,6,True,False
FGOM,False,MYRM,0.40540540540540543,15.0,0.0,6,True,False
FGWL,False,MYRM,0.4827586206896552,14.0,0.0,6,True,False
FGYD,False,MYRM,0.3125,35.0,10.0,6,True,False
FLG,True,MLY,0.6060606060606061,60.0,0.0,6,True,False
FLN,False,MYRM,0.5921052631578947,45.0,0.0,6,True,False
FM2N,False,MYRM,0.3235294117647059,11.0,0.0,6,True,False
FM2R,True,MLY,0.9253731343283582,248.0,2.0,6,True,False
FMLO,True,MDGR,0.8032786885245902,147.0,0.0,6,True,False
FNOG,True,MNOW,0.7956989247311828,74.0,14.0,6,True,False
FOLW,False,MYRM,0.5942028985507246,123.0,9.0,6,True,False
FRBM,True,MDMG,0.717948717948718,84.0,2.0,6,True,False
FRBR,False,MYRM,0.3333333333333333,4.0,0.0,6,True,False
FRDO,True,MLY,0.8076923076923077,63.0,1.0,6,True,False
