Bird,Male_id,Degree,Cohesion,nPairbonds,maxPairbond,Eggs,Aviary,AviaryCohesion,Score,DegreeScore,nSongs,Eggspectation,EggScore,EggPerPair
0,MBOG,3,0.2604094782284652,0,0.0,0.0,0,0.2490299580487993,0.22608318151196283,3.6,13.0,0.4435430463576159,0.0,
1,MDMD,4,0.28298792659269734,1,0.0,0.0,0,0.2490299580487993,0.22608318151196283,3.6,574.0,0.4435430463576159,0.0,0.0
2,MGBG,4,0.22402982542634925,2,0.0,0.0,0,0.2490299580487993,0.22608318151196283,3.6,135.0,0.4435430463576159,0.0,0.0
3,MGNB,3,0.21703921735723608,2,1.0,1.0,0,0.2490299580487993,0.22608318151196283,3.6,163.0,0.4435430463576159,2.254572601717059,0.5
4,ML2M,4,0.2606833426392487,0,0.0,0.0,0,0.2490299580487993,0.22608318151196283,3.6,45.0,0.4435430463576159,0.0,
0,M2YL,6,0.11782722213971071,2,4.0,4.0,1,0.0796383768888773,0.06369923299130903,4.0,104.0,0.4435430463576159,9.018290406868235,2.0
1,MG2N,1,-0.034068335147746424,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,22.0,0.4435430463576159,0.0,
2,MGM,1,0.9999999999999999,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,2.0,0.4435430463576159,0.0,
3,MLNR,6,0.08271139015534922,1,4.0,4.0,1,0.0796383768888773,0.06369923299130903,4.0,93.0,0.4435430463576159,9.018290406868235,4.0
4,MLY,5,0.06178899275818408,1,1.0,1.0,1,0.0796383768888773,0.06369923299130903,4.0,129.0,0.4435430463576159,2.254572601717059,1.0
5,MLYR,3,0.019360934148334428,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,12.0,0.4435430463576159,0.0,
6,MMWM,4,0.05720214389956352,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,12.0,0.4435430463576159,0.0,
7,MO2G,3,0.3524672414281182,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,8.0,0.4435430463576159,0.0,
8,MR2M,4,0.03482682115263583,1,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,44.0,0.4435430463576159,0.0,0.0
9,MRG,4,0.09710999622325257,2,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,85.0,0.4435430463576159,0.0,0.0
10,MRGL,3,0.0455780698720056,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,17.0,0.4435430463576159,0.0,
11,MRLG,7,0.14847487284161442,0,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,33.0,0.4435430463576159,0.0,
12,MWNL,4,0.06480517455057946,1,0.0,0.0,1,0.0796383768888773,0.06369923299130903,4.0,57.0,0.4435430463576159,0.0,0.0
13,MYRM,5,0.02791942975208633,1,4.0,4.0,1,0.0796383768888773,0.06369923299130903,4.0,241.0,0.4435430463576159,9.018290406868235,4.0
0,MDML,5,0.21561592478204022,1,0.0,0.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,200.0,0.4435430463576159,0.0,0.0
1,MDOD,4,0.10320902661526285,1,0.0,0.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,88.0,0.4435430463576159,0.0,0.0
2,MDRD,4,0.18260666527071837,1,0.0,0.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,103.0,0.4435430463576159,0.0,0.0
3,MLNL,5,0.217984091993975,3,0.0,0.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,165.0,0.4435430463576159,0.0,0.0
4,MRDR,3,0.08044030914294092,1,0.0,0.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,52.0,0.4435430463576159,0.0,0.0
5,MWRG,5,0.23287696509910888,3,0.0,1.0,2,0.17212216381734105,0.1646846631680607,4.333333333333333,287.0,0.4435430463576159,2.254572601717059,0.3333333333333333
0,MB2M,7,0.11501503071401577,2,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,141.0,0.4435430463576159,0.0,0.0
1,MBDY,4,0.06787037291192466,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,10.0,0.4435430463576159,0.0,
2,MBWD,5,0.050101900456825096,1,1.0,1.0,3,0.06612387207974586,0.07133577131174558,5.125,59.0,0.4435430463576159,2.254572601717059,1.0
3,MGBD,4,0.045010642898648034,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,15.0,0.4435430463576159,0.0,
4,MGMB,1,0.2319032300916359,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,5.0,0.4435430463576159,0.0,
5,MLB,3,-0.02024911926446814,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,32.0,0.4435430463576159,0.0,
6,MLNG,5,0.038851255395834686,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,50.0,0.4435430463576159,0.0,
7,MMD,6,0.054384173494760435,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,38.0,0.4435430463576159,0.0,
8,MMOL,7,0.043375981888655844,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,28.0,0.4435430463576159,0.0,
9,MN2W,4,-0.006966437258253766,1,1.0,1.0,3,0.06612387207974586,0.07133577131174558,5.125,66.0,0.4435430463576159,2.254572601717059,1.0
10,MNGO,8,0.11545697062260753,1,1.0,1.0,3,0.06612387207974586,0.07133577131174558,5.125,229.0,0.4435430463576159,2.254572601717059,1.0
11,MNR,7,0.13138285829323448,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,14.0,0.4435430463576159,0.0,
12,MNRB,0,-0.12012074448931509,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,6.0,0.4435430463576159,0.0,
13,MW2R,4,-0.0012468017199580976,0,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,10.0,0.4435430463576159,0.0,
14,MWLG,8,0.10445540817317767,1,0.0,0.0,3,0.06612387207974586,0.07133577131174558,5.125,48.0,0.4435430463576159,0.0,0.0
15,MYLO,9,0.20767218235761356,1,5.0,5.0,3,0.06612387207974586,0.07133577131174558,5.125,77.0,0.4435430463576159,11.272863008585293,5.0
0,MB2M,4,0.07708253833920359,0,0.0,0.0,4,0.09226579983769621,0.09060766040233821,3.6,88.0,0.0,,
1,MBDY,1,0.023087369737242118,0,0.0,0.0,4,0.09226579983769621,0.09060766040233821,3.6,27.0,0.0,,
