EggScore,EggCount,Cohesion,NoPruneCohesion60,CohesionNoCountersong60,CohesionWindowed,Countersong,CountersongRatio,nFemales,nMales,nDays,Cohesion_normed,Countersong_normed,nBirds,GoodEggs
1.818252850326856,113.0,0.2490299580487993,0.2490299580487993,0.14465421288742666,0.22608318151196283,154,0.1495039343140609,12,5,113,2.1012085086139156,0.3652933832709114,17,10.0
0.7596360107897455,85.0,0.03968002047721218,0.0796383768888773,0.1464382366735431,0.06369923299130903,690,0.21007943029307038,13,14,45,0.3348030787217757,1.6367041198501873,27,5.0
2.334031493278244,107.0,0.17212216381734105,0.17212216381734105,0.1565215181456809,0.1646846631680607,278,0.18926103136629452,11,6,45,1.452293362484382,0.6594257178526841,17,13.0
0.9296788477311679,83.0,0.07116904660078813,0.06612387207974586,0.061759432909289994,0.07133577131174558,804,0.25,13,16,45,0.6004940427216094,1.9071161048689138,29,6.0
0.6072557687363612,62.0,0.0967354621272926,0.0967354621272926,0.0673737542899938,0.08961278588058606,616,0.1435931060322218,15,8,53,0.8162125460694003,1.4611735330836455,23,62.0
0.8674486690816439,101.0,0.09220313208486237,0.09220313208486237,0.10882368355237218,0.08815650038816411,715,0.17278617710583152,19,8,51,0.7779706794136035,1.6960049937578028,27,101.0
0.9463720938411591,91.0,0.1034829266120365,0.1034829266120365,0.09083906923842527,0.10115343505710953,574,0.19051810865191146,14,10,57,0.8731447718064171,1.3615480649188514,24,91.0
1.4739037320739605,58.0,0.13496520240543264,0.09450595062196619,0.04275077539876962,0.14749191450753812,163,0.1040268456375839,9,7,33,1.138778779401002,0.38664169787765296,16,58.0
1.0546425256580123,44.0,0.11436237712035087,0.11436237712035088,0.09181532195640867,0.11544698737150094,316,0.16856204195097296,10,9,30,0.9649409322211194,0.7495630461922597,19,44.0
0.8875056628107507,96.0,0.08159966063997319,0.08159966063997319,0.08005708640639465,0.08339263400559795,491,0.12667261373773417,17,11,56,0.6885031125577319,1.1646691635455682,28,96.0
2.3438706768877533,109.0,0.0841179451107221,0.05757852793800425,0.02130370442549012,0.07966174842676714,471,0.11563618412933481,13,10,51,0.7097513222049061,1.1172284644194757,23,93.0
1.3425574191340361,75.0,0.09677698719438958,0.09677698719438958,0.030439397031950633,0.10168108234910232,321,0.17112998040496408,12,8,38,0.8165629168640974,0.7614232209737828,20,75.0
1.9257755834433334,93.0,0.08542174904029849,0.10723930474056449,0.09127246883949443,0.08823302193736043,647,0.1732080813280144,13,10,47,0.7207522633440977,1.5347066167290886,23,73.0
1.3547940326607764,68.0,0.17417702687471315,0.17417702687471315,0.12147927133727675,0.17515581653273987,272,0.09155136885487195,11,8,36,1.4696314200177674,0.6451935081148564,19,68.0
1.5792654415248712,71.0,0.23753171138749476,0.19910577806970373,0.23161669602942822,0.2545563251350422,280,0.0911660777385159,10,9,36,2.0041912103411503,0.6641697877652935,19,71.0
0.6420107526355515,68.0,0.12123793792560783,0.05528276510645443,0.08469793107052206,0.10587442613644711,154,0.07244473626614138,21,11,46,1.0229539800435317,0.3652933832709114,32,68.0
1.110895865461844,89.0,0.09210035632413281,0.10923053828028126,0.09643739453371075,0.10795318439351709,278,0.17802385008517888,19,13,48,0.7771035014057194,0.6594257178526841,32,89.0
