Day,Aviary,AviaryRank,Cohesion,Cohesion_norm,Day_norm
90,0,0,0.45175395145262554,4.2383321133594505,0.7264857276555919
97,0,0,-0.11478177006205834,-1.0768766062100037,0.7829901731399157
102,0,0,0.14183100131705148,1.330651089202536,0.8233504913430042
103,0,0,0.2343117450621108,2.198300624578333,0.8314225549836218
104,0,0,0.21081877480335598,1.9778907975791316,0.8394946186242396
107,0,0,0.23695253929290558,2.2230764189176235,0.8637108095460926
110,0,0,0.12014969294360296,1.1272381799333349,0.8879270004679457
111,0,0,0.5635860513817561,5.287535067555995,0.8959990641085633
118,0,0,0.23137734465563325,2.1707702323454874,0.9525035095928872
119,0,0,0.2221459603313994,2.0841618639928616,0.9605755732335048
120,0,0,0.19468904513465463,1.826562511429469,0.9686476368741226
121,0,0,0.1711718807269889,1.605925696181565,0.9767197005147402
123,0,0,0.16314408485736442,1.5306093322088377,0.9928638277959756
124,0,0,0.20476798914077385,1.9211226407045454,1.0009358914365933
125,0,0,0.30843909022826116,2.893759527561991,1.009007955077211
126,0,0,0.3130652974983011,2.9371623639347977,1.0170800187178286
127,0,0,0.3353144810510874,3.145903048647308,1.0251520823584463
128,0,0,0.34688430468632925,3.2544505331827986,1.033224145999064
129,0,0,0.3507995453934239,3.2911831181818956,1.0412962096396818
130,0,0,0.5837010073815322,5.476252540194646,1.0493682732802994
131,0,0,0.6252215265190012,5.865795894619837,1.057440336920917
97,1,18,-0.09991561721454917,-0.937403132180379,0.7829901731399157
103,1,18,0.11511456250092077,1.0799988475898044,0.8314225549836218
104,1,18,0.07458397092777165,0.6997429421670308,0.8394946186242396
107,1,18,0.051599228269283065,0.48410128012173287,0.8637108095460926
110,1,18,0.050246124624797335,0.47140653199460114,0.8879270004679457
111,1,18,0.040777651168409555,0.3825738057159284,0.8959990641085633
116,1,18,0.10986428681717363,1.030741033766898,0.9363593823116518
118,1,18,0.06531187825714964,0.6127526502225382,0.9525035095928872
119,1,18,0.09078626413607309,0.8517520156770632,0.9605755732335048
120,1,18,0.0386511110386001,0.36262271664733803,0.9686476368741226
121,1,18,0.01145536331827849,0.10747362378555997,0.9767197005147402
123,1,18,0.07255685658593594,0.68072466067812,0.9928638277959756
124,1,18,0.058376310073838394,0.5476835096844178,1.0009358914365933
125,1,18,0.06418889320097913,0.6022168627411323,1.009007955077211
126,1,18,0.08322877510871592,0.7808480460758839,1.0170800187178286
127,1,18,0.05762060556688172,0.5405935292431935,1.0251520823584463
128,1,18,0.1596187126604841,1.497534473327057,1.033224145999064
129,1,18,0.12643245044831902,1.186182684584736,1.0412962096396818
130,1,18,0.20659772098460655,1.9382890898470844,1.0493682732802994
131,1,18,0.01910826460864573,0.17927274628362824,1.057440336920917
86,2,3,-0.9999999999999999,-9.381948070915579,0.6941974730931212
90,2,3,-0.9999999999999999,-9.381948070915579,0.7264857276555919
102,2,3,0.1965643738088024,1.8441567476662224,0.8233504913430042
104,2,3,0.225900297246966,2.1193848579754286,0.8394946186242396
108,2,3,0.26945375174383085,2.528001106373999,0.8717828731867103
109,2,3,0.18345539019232196,1.7211689441139197,0.879854936827328
115,2,3,0.12902065526374978,1.2104650877600012,0.9282873186710341
116,2,3,0.13485338273978179,1.265187434051936,0.9363593823116518
118,2,3,0.1919412739613744,1.800783064970995,0.9525035095928872
119,2,3,0.18351951618873172,1.721770570882232,0.9605755732335048
120,2,3,0.2540613558217053,2.3835904471456444,0.9686476368741226
121,2,3,0.2842965125499964,2.6672551174864654,0.9767197005147402
123,2,3,0.23559467499919895,2.2103370066267174,0.9928638277959756
124,2,3,0.22608828908739712,2.1211485876601093,1.0009358914365933
125,2,3,0.18412686209283663,1.7274686586156274,1.009007955077211
126,2,3,0.17238667096498758,1.6173227951115239,1.0170800187178286
127,2,3,0.19217921052946402,1.8030153734969838,1.0251520823584463
128,2,3,0.19043649548830632,1.7866653114784388,1.033224145999064
129,2,3,0.12377549330130218,1.1612552506047762,1.0412962096396818
130,2,3,0.10988024132808678,1.0308907181597822,1.0493682732802994
131,2,3,0.16668603864092238,1.5638397586757613,1.057440336920917
102,3,17,0.2535393283801708,2.378692812797575,0.8233504913430042
104,3,17,0.19377412012614886,1.817978732510886,0.8394946186242396
107,3,17,0.23756417833006876,2.228814784602433,0.8637108095460926
108,3,17,0.2376200297029163,2.229338779282178,0.8717828731867103
109,3,17,0.24312148751000448,2.2809531707426127,0.879854936827328
110,3,17,0.23797740042131643,2.232691612804274,0.8879270004679457
115,3,17,0.06921477470433336,0.6493694220161768,0.9282873186710341
116,3,17,0.13395363537789584,1.2567460510257786,0.9363593823116518
118,3,17,0.05071480209829305,0.47580363971294587,0.9525035095928872
119,3,17,0.0007631242670921172,0.007159592245513754,0.9605755732335048
120,3,17,-0.018772654487975052,-0.17612406955942222,0.9686476368741226
121,3,17,0.012803594453528013,0.12012265828406256,0.9767197005147402
123,3,17,0.03681855103317402,0.34542973383959374,0.9928638277959756
124,3,17,0.010126494640183689,0.0950062468546083,1.0009358914365933
125,3,17,-0.0028906752958415406,-0.02712016551546386,1.009007955077211
126,3,17,0.030079624275049916,0.28220547294117,1.0170800187178286
127,3,17,0.025265375237486582,0.2370384384702955,1.0251520823584463
128,3,17,0.09515689327770112,0.8927570313210477,1.033224145999064
129,3,17,0.08874307919775894,0.8325829606865229,1.0412962096396818
130,3,17,0.06426847882333186,0.6029635309172371,1.0493682732802994
131,3,17,0.04712216949263523,0.442097747168786,1.057440336920917
68,4,11,-0.003537464712274839,-0.03318831023325886,0.5489003275620028
