57,6/2/2017 4:00,DARW_05,03-Jun-17,NF,,3.25,3.02,12-Jun-17,FDOG,
61,6/3/2017 4:00,DARW_N/A,03-Jun-17,NF,,3.11,2.89,12-Jun-17,FDOG,
68,6/4/2017 4:00,DARW_04,04-Jun-17,NF,,3.21,2.13,12-Jun-17,FDOG,
69,6/5/2017 4:00,DARW_01,05-Jun-17,F,,3.22,3.08,12-Jun-17,FDOG,
74,6/7/2017 4:00,DARW_02,07-Jun-17,NF,,2.92,2.69,13-Jun-17,FDOG,
86,6/1/2017 5:28,DARW_08,,RMV,,,,,FDOG,
89,6/9/2017 5:30,DARW_08,,RMV,,,,,FDOG,
91,6/14/2017 4:00,DARW_05,14-Jun-17,NF,,3.08,2.64,19-Jun-17,FDOG,
96,6/15/2017 4:00,DARW_07,15-Jun-17,NF,,3.06,2.97,19-Jun-17,FDOG,
98,6/16/2017 4:00,DARW_04,16-Jun-17,NF,,3.14,2.97,23-Jun-17,FDOG,
109,6/19/2017 4:00,DARW_03,19-Jun-17,NF,,3.59,3.47,24-Jun-17,FDOG,
114,6/20/2017 4:00,DARW_07,20-Jun-17,F,,3.17,2.88,25-Jun-17,FDOG,
116,6/23/2017 4:00,DARW_06,24-Jun-17,NF,,3.13,2.99,29-Jun-17,FDOG,
124,6/27/2017 4:00,DARW_04,,,,,,,FDOG,Broken
127,6/29/2017 4:00,DARW_N/A,29-Jun-17,F,,3.31,3.12,04-Jul-17,FDOG,
132,7/2/2017 4:00,DARW_08,02-Jul-17,NF,,3.55,3.33,09-Jul-17,FDOG,
19,5/24/2017 5:41,COOP_01,,RMV,,,,,FGWL,
77,6/8/2017 5:20,DARW_07,,,,2.62,2.33,13-Jun-17,FLMV,
43,5/29/2017 5:32,DARW_05,,RMV,,,,,FLMW,
56,6/2/2017 4:00,DARW_08,03-Jun-17,F,,2.81,2.35,12-Jun-17,FLMW,
65,6/3/2017 4:00,DARW_N/A,03-Jun-17,NF,,2.65,1.95,12-Jun-17,FLMW,
107,6/19/2017 4:00,DARW_04,19-Jun-17,F,,2.63,2.48,24-Jun-17,FLMW,
120,6/24/2017 4:00,DARW_N/A,24-Jun-17,F,,2.93,2.69,01-Jul-17,FLMW,
13,5/23/2017 5:19,COOP_04,23-May-17,NF,,2.80,2.61,29-May-17,FM2P,(LMM)
118,6/24/2017 4:00,COOP_04,24-Jun-17,,,2.44,0.00,29-Jun-17,FM2P,Broken
139,6/9/2017 5:18,COOP_03,,RMV,,,,,FM2P,Broken by FBPL 7:46:46 AM
144,6/10/2017 5:26,COOP_06,,RMV,,,,,FM2P,Broken by F2P 6:45:56 AM
95,6/15/2017 4:00,DARW_06,,,,2.74,,,FMGW,Broken
48,5/31/2017 5:26,DARW_05,31-May-17,NF,,2.59,2.81,05-Jun-17,FMYB,
76,6/8/2017 5:10,DARW_05,,,,,,,FMYB,
79,6/9/2017 5:39,DARW_04,12-Jun-17,F,,2.28,2.02,19-Jun-17,FMYB,
84,6/1/2017 5:20,DARW_04,,RMV,,,,,FMYB,
87,6/2/2017 5:37,DARW_04,,RMV,,,,,FMYB,
135,6/5/2017 5:39,DARW_06,,RMV,,,,,FMYB,
150,6/17/2017 5:50,DARW_04,,RMV,,,,,FMYB,
153,6/27/2017 5:53,DARW_05,,RMV,,,,,FMYB,
110,6/19/2017 4:00,DARW_03,19-Jun-17,F,,2.75,2.54,24-Jun-17,FNGH,
70,6/1/2017 5:26,COOP_07,,RMV,,,,,FNHW,
102,6/18/2017 4:00,DARW_02,,,,3.44,,,FNMW,Broken
18,5/23/2017 5:37,DARW_04,,RMV,,,,,FNR,"Mother: DL or DLM; RMV by FNR?"
137,6/7/2017 5:39,DARW_06,,RMV,,,,,FNR,
151,6/17/2017 5:42,DARW_06,,RMV,,,,,FNR,
80,6/9/2017 5:28,DARW_06,12-Jun-17,F,,3.09,2.40,19-Jun-17,FNWM,
112,6/19/2017 4:00,DARW_02,19-Jun-17,NF,,3.21,1.78,24-Jun-17,FNWM,
131,7/2/2017 4:00,DARW_07,02-Jul-17,NF,,2.93,2.71,09-Jul-17,FNWM,
143,6/9/2017 5:55,COOP_08,,RMV,,,,,FNYL,
60,6/3/2017 4:00,COOP_N/A,03-Jun-17,NF,,3.18,2.96,12-Jun-17,FNYM,
145,6/11/2017 5:18,COOP_02,,RMV,,,,,FNYM,
45,5/30/2017 5:30,DARW_06,30-May-17,NF,,3.02,2.79,05-Jun-17,FONP,
63,6/3/2017 4:00,DARW_N/A,03-Jun-17,NF,,2.93,2.64,12-Jun-17,FONP,
58,6/2/2017 4:00,DARW_04,03-Jun-17,F,,3.28,3.09,12-Jun-17,FPB,
62,6/3/2017 4:00,DARW_N/A,03-Jun-17,F,,2.89,2.61,12-Jun-17,FPB,
75,6/7/2017 4:00,DARW_05,07-Jun-17,NF,,3.52,3.52,13-Jun-17,FPB,
94,6/15/2017 4:00,DARW_04,15-Jun-17,NF,,3.49,3.35,19-Jun-17,FPB,
108,6/19/2017 4:00,DARW_01,19-Jun-17,F,,3.32,3.12,24-Jun-17,FPB,
121,6/25/2017 4:00,DARW_02,25-Jun-17,NF,,3.47,3.08,01-Jul-17,FPB,
26,5/26/2017 6:03,COOP_01,26-May-17,F,,2.94,2.74,03-Jun-17,FPBW,
36,5/27/2017 6:13,COOP_07,,RMV,,,,,FPBW,
42,5/29/2017 6:12,COOP_N/A,29-May-17,NF,,2.91,2.20,05-Jun-17,FPBW,"Potentially CAM 5 - Was found on ground; but time of removal coincides with time found on ground in other camera… Also note PBW both laid and removed the egg"
50,5/31/2017 5:55,COOP_02,31-May-17,F,,3.01,2.88,05-Jun-17,FPBW,
59,6/3/2017 4:00,COOP_N/A,03-Jun-17,NF,,3.36,2.72,12-Jun-17,FPBW,
66,6/4/2017 4:00,COOP_05,04-Jun-17,F,,2.95,2.85,12-Jun-17,FPBW,
71,6/6/2017 4:00,DARW_02,07-Jun-17,NF,,3.01,2.90,12-Jun-17,FPBW,
72,6/6/2017 6:11,COOP_02,,RMV,,,,,FPBW,
78,6/8/2017 4:00,COOP_03,,,,2.96,,,FPBW,Went Missing
140,6/9/2017 5:37,COOP_03,,RMV,,,,,FPBW,
147,6/14/2017 5:50,COOP_01,,RMV,,,,,FPBW,
20,5/24/2017 5:44,COOP_01,,RMV,,,,,FPLH,
46,5/30/2017 5:29,COOP_01,,RMV,,,,,FPLH,
49,5/31/2017 5:41,COOP_02,,F,,2.76,2.51,05-Jun-17,FPLH,
130,7/2/2017 4:00,COOP_08,02-Jul-17,NF,,2.71,2.52,09-Jul-17,FPLH,
9,5/21/2017 5:41,COOP_08,21-May-17,F,,2.83,3.07,28-May-17,FPWH,"2nd of the two eggs from nest 8; band was med-light-med; RFID unconfirmed"
14,5/23/2017 5:33,COOP_07,23-May-17,NF,,2.94,2.49,29-May-17,FPWH,(FPWH)
44,5/30/2017 5:15,COOP_01,30-May-17,NF,,2.69,2.41,05-Jun-17,FPWH,
90,6/14/2017 4:00,COOP_01,14-Jun-17,F,,2.89,2.73,19-Jun-17,FPWH,
106,6/19/2017 4:00,COOP_N/A,19-Jun-17,NF,,3.40,3.24,24-Jun-17,FPWH,
113,6/20/2017 4:00,COOP_N/A,20-Jun-17,NF,,2.76,2.48,25-Jun-17,FPWH,
141,6/9/2017 5:17,COOP_05,,RMV,,,,,FPWH,
148,6/15/2017 5:30,COOP_05,,RMV,,,,,FPWH,
47,5/30/2017 5:30,DARW_06,,RMV,,,,,FWH,
64,6/3/2017 4:00,DARW_N/A,03-Jun-17,NF,,3.31,2.68,12-Jun-17,FWH,
67,6/4/2017 4:00,DARW_02,04-Jun-17,NF,,3.04,2.83,12-Jun-17,FWH,
73,6/7/2017 4:00,DARW_01,07-Jun-17,NF,,3.23,3.09,13-Jun-17,FWH,
81,6/9/2017 5:28,DARW_08,12-Jun-17,NF,,3.38,2.97,19-Jun-17,FWH,
82,6/10/2017 4:00,DARW_08,10-Jun-17,NF,,2.68,2.04,19-Jun-17,FWH,
100,6/17/2017 4:00,DARW_06,,,,3.45,,,FWH,Broken
103,6/18/2017 4:00,DARW_04,18-Jun-17,F,,3.02,2.76,23-Jun-17,FWH,
125,6/28/2017 4:00,DARW_N/A,28-Jun-17,F,,3.48,3.36,04-Jul-17,FWH,
126,6/29/2017 4:00,DARW_N/A,29-Jun-17,F,,3.07,2.81,04-Jul-17,FWH,
129,7/1/2017 4:00,DARW_06,,,,3.52,,,FWH,Missing
133,7/2/2017 4:00,DARW_06,02-Jul-17,F,,3.27,2.91,09-Jul-17,FWH,
136,6/5/2017 5:41,DARW_06,,RMV,,,,,FWH,
149,7/4/2017 4:00,DARW_04,,,,,,,FWH,Broken
53,6/1/2017 4:00,COOP_08,01-Jun-17,NF,,2.89,2.43,09-Jun-17,FWLY,
8,5/21/2017 5:35,COOP_08,21-May-17,F,,3.26,3.07,28-May-17,FYGB,"1st of two eggs removed from nest 8; band was (LMD) with RFID"
17,5/22/2017 5:28,COOP_03,,RMV,,,,,FYGB,Mother:(LMD) RMV by FBPL 6:33:57
54,6/1/2017 4:00,COOP_05,01-Jun-17,NF,,3.29,1.93,09-Jun-17,FYGB,
93,6/15/2017 4:00,COOP_04,15-Jun-17,NF,,2.93,2.85,19-Jun-17,FYGB,
