MRYR,FYRW,leave,09:10:50,03-04-21,LNA
FMON,MRYR,APPROACH,09:10:56,03-04-21,LNA
MDYG,FGYR,,09:11:04,03-04-21,LNA
MDYG,FGYR,,09:11:12,03-04-21,LNA
MDLO,MBRW,,09:11:18,03-04-21,LNA
MRYR,MDOG,,09:11:33,03-04-21,LNA
MDOG,MRYR,,09:11:46,03-04-21,LNA
MRYR,MDOG,,09:11:46,03-04-21,LNA
MRYR,MDOG,,09:12:04,03-04-21,LNA
MDLO,MRYR,,09:12:22,03-04-21,LNA
MDLO,MRYR,,09:12:29,03-04-21,LNA
MRYR,Male,,09:12:45,03-04-21,LNA
MRYR,MDOG,DEPART,09:13:01,03-04-21,LNA
MDYG,MDLO,simultaneous,09:13:41,03-04-21,LNA
MRYR,MDLO,,09:13:46,03-04-21,LNA
MDYG,MDLO,,09:13:52,03-04-21,LNA
MDLO,MDYG,,09:13:57,03-04-21,LNA
MNWL,,,09:14:11,03-04-21,LNA
MNWL,,,09:14:20,03-04-21,LNA
MDOG,,,09:14:43,03-04-21,LNA
MDOG,Female,leave,09:14:55,03-04-21,LNA
MDOG,FOYL,leave,09:15:12,03-04-21,LNA
MDYG,,,09:15:24,03-04-21,LNA
MDYG,,,09:15:29,03-04-21,LNA
M3O,F2LR,,00:00:00,03-04-21,LNA
M3O,F2LR,,00:00:00,03-04-21,LNA
MDLO,ML,,09:23:16,03-04-21,LNA
MDLO,MRYR,Leave,09:23:42,03-04-21,LNA
MRYR,Male,leave,09:23:54,03-04-21,LNA
MDYG,FOLM,,09:24:11,03-04-21,LNA
MDOG,MRYR,,09:24:28,03-04-21,LNA
MRYR,MDOG,,09:24:28,03-04-21,LNA
MDYG,FOLM,,09:24:41,03-04-21,LNA
MDLO,ML,,09:24:41,03-04-21,LNA
MRYR,MDOG,,09:24:47,03-04-21,LNA
MDLO,ML,Leave,09:24:53,03-04-21,LNA
MRYR,MDOG,,09:24:58,03-04-21,LNA
MDYG,FOLM,FOLLOW,09:24:59,03-04-21,LNA
MRYR,MDOG,,09:25:28,03-04-21,LNA
M3O,Male,leave,09:25:51,03-04-21,LNA
MNWL,FNY,DEPART,09:26:08,03-04-21,LNA
MDYG,MDOG,,09:26:17,03-04-21,LNA
MDOG,MDYG,,09:26:23,03-04-21,LNA
MDYG,MDOG,,09:26:28,03-04-21,LNA
MRYR,FMON,,09:26:37,03-04-21,LNA
MRYR,FMON,,09:26:37,03-04-21,LNA
MRYR,FMON,,09:26:37,03-04-21,LNA
MRYR,FMON,leave,09:26:40,03-04-21,LNA
MDYG,MDOG,Leave,09:26:55,03-04-21,LNA
FMON,MRYR,APPROACH,09:27:09,03-04-21,LNA
MDOG,MRYR,,09:27:09,03-04-21,LNA
MRYR,MDOG,,09:27:09,03-04-21,LNA
MDOG,Female,,09:27:27,03-04-21,LNA
MDYG,FGYR,,09:27:42,03-04-21,LNA
MRYR,MDOG,,09:27:49,03-04-21,LNA
MDYG,FGYR,,09:27:54,03-04-21,LNA
MDOG,MRYR,,09:28:05,03-04-21,LNA
MDYG,FGYR,,09:28:11,03-04-21,LNA
MRYR,MDOG,,09:28:18,03-04-21,LNA
MDYG,FGYR,,09:28:31,03-04-21,LNA
M3O,ML,,09:28:36,03-04-21,LNA
MDOG,,,09:28:42,03-04-21,LNA
MDYG,FGYR,FOLLOW,09:28:44,03-04-21,LNA
MRYR,FYRW,Chase,09:29:37,03-04-21,LNA
MDOG,FOG,FOLLOW,09:30:01,03-04-21,LNA
MRYR,MDLO,Leave,09:30:10,03-04-21,LNA
MDOG,,,09:30:16,03-04-21,LNA
MNWL,,,09:30:30,03-04-21,LNA
M3O,ML,,09:30:36,03-04-21,LNA
MDLO,ML,Leave,09:30:39,03-04-21,LNA
MRYR,MDOG,,09:32:10,03-04-21,LNA
MDOG,MRYR,,09:32:17,03-04-21,LNA
MDLO,,,09:32:23,03-04-21,LNA
MDLO,,,09:32:33,03-04-21,LNA
MRYR,Female,LEAVE,09:33:00,03-04-21,LNA
MDYG,FLGY,FOLLOW,09:33:18,03-04-21,LNA
MDYG,FYRW,,09:33:34,03-04-21,LNA
MDYG,FYRW,,09:33:40,03-04-21,LNA
MDYG,FGYR,,09:33:58,03-04-21,LNA
MRYR,MDOG,,09:34:03,03-04-21,LNA
MDYG,FGYR,,09:34:13,03-04-21,LNA
FLGY,MDYG,approach,09:34:13,03-04-21,LNA
MDYG,FLGY,Leave,09:34:13,03-04-21,LNA
MDLO,MRYR,,09:34:25,03-04-21,LNA
MDOG,MRYR,,09:34:25,03-04-21,LNA
MRYR,MDOG,,09:34:25,03-04-21,LNA
MRYR,MDOG,,09:34:56,03-04-21,LNA
MDOG,Male,leave,09:34:59,03-04-21,LNA
MDLO,MRYR,,09:35:03,03-04-21,LNA
MRYR,MDOG,DEPART,09:35:22,03-04-21,LNA
MOWN,,,09:35:29,03-04-21,LNA
M3O,MNWL,,09:35:43,03-04-21,LNA
MRYR,,,09:36:09,03-04-21,LNA
MRYR,MDOG,,09:37:03,03-04-21,LNA
MDOG,MRYR,,09:37:23,03-04-21,LNA
FLGY,MDOG,APPROACH,09:37:23,03-04-21,LNA
MRYR,MDOG,,09:37:27,03-04-21,LNA
MDOG,MRYR,,09:37:30,03-04-21,LNA
FNRG,MDLO,APPROACH,00:00:00,03-04-21,LNA
ML,MGDO,,09:38:04,03-04-21,LNA
MDLO,M3O,leave,09:03:24,03-04-21,LNA
MNWL,M3O,DEPART,09:03:50,03-04-21,LNA
ML,M3O,,09:03:53,03-04-21,LNA
MDYG,FGYR,,09:10:12,03-04-21,LNA
MDLO,M3O,,09:32:45,03-04-21,LNA
MDOG,MRYR,Leave,09:32:56,03-04-21,LNA
MDOG,ML,,09:36:05,03-04-21,LNA
MDOG,ML,,10:05:41,03-04-22,LNA
MDYG,ML,Leave,09:01:49,03-04-22,LNA
MDOG,MRYR,,09:02:00,03-04-22,LNA
MDOG,MRYR,,09:02:10,03-04-22,LNA
MRYR,MDOG,,09:02:10,03-04-22,LNA
MDYG,MDOG,,09:02:41,03-04-22,LNA
ML,Male,,09:02:50,03-04-22,LNA
MBRW,M3O,,09:02:53,03-04-22,LNA
ML,MDYG,,09:03:05,03-04-22,LNA
MDYG,ML,,09:03:05,03-04-22,LNA
MNWL,ML,,09:03:05,03-04-22,LNA
ML,MDYG,,09:03:10,03-04-22,LNA
MNWL,ML,,09:03:15,03-04-22,LNA
MBRW,MDOG,DEPART,09:03:24,03-04-22,LNA
ML,MDYG,,09:03:39,03-04-22,LNA
MDOG,Female,leave,09:04:13,03-04-22,LNA
MNWL,Female,,09:04:34,03-04-22,LNA
MDYG,FGYR,,09:04:48,03-04-22,LNA
MDYG,Female,leave,09:05:03,03-04-22,LNA
M3O,ML,,09:05:13,03-04-22,LNA
MDYG,FGYR,LEAVE,09:05:19,03-04-22,LNA
MDOG,FOYL,FOLLOW,09:05:52,03-04-22,LNA
MRYR,MDOG,leave,09:06:03,03-04-22,LNA
MDYG,M3O,leave,09:06:16,03-04-22,LNA
MRYR,MDOG,,09:06:27,03-04-22,LNA
MDOG,MRYR,,09:06:35,03-04-22,LNA
MRYR,MDOG,,09:06:36,03-04-22,LNA
MDLO,FNRG,,09:07:00,03-04-22,LNA
MDLO,FNRG,,09:07:00,03-04-22,LNA
MDLO,FNRG,Leave,09:07:06,03-04-22,LNA
FNRG,MDLO,APPROACH,09:07:11,03-04-22,LNA
MDLO,Female,leave,09:07:32,03-04-22,LNA
MRYR,Female,leave,09:07:40,03-04-22,LNA
MDLO,FNRG,,09:07:47,03-04-22,LNA
MGDO,MG2L,,09:07:57,03-04-22,LNA
MDLO,ML,,09:08:09,03-04-22,LNA
MDYG,MDLO,,09:08:10,03-04-22,LNA
MBRW,MOWN,,09:08:45,03-04-22,LNA
MOWN,MBRW,,09:08:50,03-04-22,LNA
MDOG,MRYR,,09:09:16,03-04-22,LNA
MRYR,MDOG,,09:09:20,03-04-22,LNA
MGDO,MG2L,,09:09:25,03-04-22,LNA
MGDO,MG2L,,09:09:42,03-04-22,LNA
MDYG,FGYR,,09:09:46,03-04-22,LNA
MDYG,FLGY,,09:10:04,03-04-22,LNA
MDYG,FLGY,,09:10:08,03-04-22,LNA
MDYG,FLGY,,09:10:20,03-04-22,LNA
MOWN,FOYL,leave,09:10:30,03-04-22,LNA
MDOG,Female,leave,09:10:41,03-04-22,LNA
MBRW,MDRM,,09:10:54,03-04-22,LNA
MRYR,MDOG,simultaneous,09:10:59,03-04-22,LNA
MDOG,MRYR,,09:11:02,03-04-22,LNA
MDOG,Female,leave,09:11:11,03-04-22,LNA
MGDO,MG2L,,09:11:16,03-04-22,LNA
MRYR,MDOG,,09:11:28,03-04-22,LNA
MDOG,MRYR,,09:11:38,03-04-22,LNA
MRYR,MDOG,,09:11:46,03-04-22,LNA
MRYR,MDOG,,09:11:51,03-04-22,LNA
MDLO,Female,leave,09:12:00,03-04-22,LNA
FNRG,MDLO,APPROACH,09:12:08,03-04-22,LNA
MDLO,FNRG,,09:12:09,03-04-22,LNA
MDLO,MDYG,,09:12:20,03-04-22,LNA
MRYR,MDOG,,09:12:26,03-04-22,LNA
MDOG,MG2L,,09:13:00,03-04-22,LNA
MDYG,Male,leave,09:13:06,03-04-22,LNA
MRYR,Female,,09:13:25,03-04-22,LNA
MRYR,Female,,09:13:27,03-04-22,LNA
MRYR,Female,leave,09:13:27,03-04-22,LNA
MNWL,ML,DEPART,09:13:39,03-04-22,LNA
MRYR,Male,LEAVE,09:13:45,03-04-22,LNA
MGDO,,,09:13:59,03-04-22,LNA
MDYG,,,09:14:08,03-04-22,LNA
MGDO,MDOG,simultaneous,09:14:23,03-04-22,LNA
MDOG,MRYR,,09:14:29,03-04-22,LNA
MRYR,MDOG,,09:14:29,03-04-22,LNA
MDOG,MRYR,,09:14:36,03-04-22,LNA
MDRM,F2LR,,09:14:43,03-04-22,LNA
MRYR,MDOG,,09:14:48,03-04-22,LNA
FOG,MDLO,APPROACH,09:14:56,03-04-22,LNA
MDLO,ML,,09:14:56,03-04-22,LNA
MDRM,,,09:15:04,03-04-22,LNA
MRYR,MDOG,,09:15:11,03-04-22,LNA
M3O,MNWL,,09:15:13,03-04-22,LNA
MRYR,FYRW,,09:15:22,03-04-22,LNA
MRYR,FYRW,CHASE,09:15:24,03-04-22,LNA
MGDO,,,09:15:43,03-04-22,LNA
MGDO,,,09:15:49,03-04-22,LNA
MDOG,Male,leave,09:15:55,03-04-22,LNA
FOYL,MGDO,APPROACH,09:16:01,03-04-22,LNA
MGDO,FOYL,LEAVE,09:16:06,03-04-22,LNA
ML,Female,,09:16:26,03-04-22,LNA
MDOG,Male,leave,09:16:35,03-04-22,LNA
MDYG,FGYR,,09:16:41,03-04-22,LNA
MDYG,MBRW,,09:16:51,03-04-22,LNA
MGDO,,,09:24:39,03-04-22,LNA
MDOG,MBRW,,00:00:00,03-04-22,LNA
MBRW,MDOG,,09:24:57,03-04-22,LNA
MRYR,MDYG,simultaneous,09:25:08,03-04-22,LNA
FGYR,MGDO,APPROACH,09:25:15,03-04-22,LNA
MGDO,FGYR,,09:25:17,03-04-22,LNA
MGDO,FGYR,LEAVE,09:25:33,03-04-22,LNA
MRYR,FYRW,,09:25:42,03-04-22,LNA
MOWN,MBRW,,09:25:50,03-04-22,LNA
MOWN,MBRW,,09:25:56,03-04-22,LNA
MDLO,,,09:26:04,03-04-22,LNA
MRYR,FMON,FOLLOW,09:26:38,03-04-22,LNA
MBRW,MG2L,,09:26:44,03-04-22,LNA
MRYR,FMON,chase,09:26:55,03-04-22,LNA
MRYR,FMON,,09:27:04,03-04-22,LNA
MRYR,FMON,leave,09:27:09,03-04-22,LNA
MRYR,FMON,,09:27:33,03-04-22,LNA
MRYR,FMON,precop,09:27:33,03-04-22,LNA
MRYR,FMON,FOLLOW,09:27:51,03-04-22,LNA
MRYR,FMON,,09:27:51,03-04-22,LNA
MRYR,FMON,leave,09:27:54,03-04-22,LNA
MDOG,MRYR,,09:27:58,03-04-22,LNA
MDLO,,,09:28:17,03-04-22,LNA
MDLO,,,09:28:29,03-04-22,LNA
M3O,MNWL,,09:28:40,03-04-22,LNA
MDLO,,,09:28:43,03-04-22,LNA
MRYR,MDOG,,09:29:08,03-04-22,LNA
MDOG,Male,leave,09:29:08,03-04-22,LNA
MDYG,FGYR,LEAVE,09:29:15,03-04-22,LNA
MDOG,MRYR,,09:29:28,03-04-22,LNA
MDYG,FGYR,,09:29:37,03-04-22,LNA
MRYR,MDOG,,09:29:40,03-04-22,LNA
MDYG,FGYR,,09:29:46,03-04-22,LNA
MRYR,MDOG,,09:29:53,03-04-22,LNA
MDLO,,,09:30:11,03-04-22,LNA
MRYR,MDOG,,09:30:17,03-04-22,LNA
MRYR,FYRW,,09:30:29,03-04-22,LNA
MRYR,FYRW,precop,09:30:35,03-04-22,LNA
MRYR,FYRW,,09:30:41,03-04-22,LNA
MBRW,FNY,Leave,09:31:00,03-04-22,LNA
MRYR,MDOG,,09:31:24,03-04-22,LNA
MDYG,FGYR,LEAVE,09:31:29,03-04-22,LNA
MRYR,MDOG,,09:31:34,03-04-22,LNA
MDLO,,,09:31:37,03-04-22,LNA
