"","Treatment","count","numTrials","prop","sem"
"1","aControl",35,194,0.180412371134021,0.0406912281871713
"2","BPChatter",11.5,195,0.058974358974359,0.030465020377131
"3","Chatter",3,194,0.0154639175257732,0.0110781892280476
"4","WhiteNoise",5.5,190,0.0289473684210526,0.0255591313863606
