1,2001-05-07,LSA,00-00-00,,00-00-00,ibrk,0
4,2001-05-08,LNA,00-00-00,,00-00-00,ibrk,0
8,2001-05-10,LSA,2001-05-16,NF,00-00-00,,0
9,2001-05-11,LNA,00-00-00,,00-00-00,ibrk,0
10,2001-05-11,LNA,2001-05-16,F,00-00-00,,0
22,2001-05-12,LNA,00-00-00,,00-00-00,broken,0
23,2001-05-12,LSA,2001-05-16,X,00-00-00,broken,0
24,2001-05-12,LSA,2001-05-16,F,00-00-00,,0
33,2001-05-13,LSA,00-00-00,,00-00-00,broken,0
34,2001-05-13,LSA,2001-05-16,NV,00-00-00,,0
35,2001-05-13,LNA,2001-05-16,NV,00-00-00,,0
42,2001-05-14,LNA,00-00-00,,00-00-00,broken,0
43,2001-05-14,LNA,2001-05-16,NF,00-00-00,,0
51,2001-05-15,LNA,00-00-00,,00-00-00,ibrk,0
57,2001-05-16,LSA,2001-05-16,NF,00-00-00,ground,0
58,2001-05-16,LNA,2001-05-16,NF,00-00-00,,0
59,2001-05-16,LNA,2001-05-16,F,00-00-00,,0
61,2001-05-17,LNA,2001-05-23,NF,00-00-00,,0
68,2001-05-18,LNA,2001-05-23,F,00-00-00,,0
81,2001-05-20,LSA,00-00-00,,00-00-00,broken,0
88,2001-05-21,LSA,2001-05-23,NF,00-00-00,ground,0
89,2001-05-21,LNA,00-00-00,,00-00-00,broken,0
90,2001-05-21,LNA,2001-05-23,F,00-00-00,,0
91,2001-05-21,LNA,2001-05-23,NF,00-00-00,,0
101,2001-05-22,LNA,00-00-00,,00-00-00,ibrk,0
102,2001-05-22,LNA,2001-05-23,F,00-00-00,,0
103,2001-05-22,LNA,2001-05-23,F,00-00-00,,0
104,2001-05-22,LNA,2001-05-23,F,00-00-00,,0
110,2001-05-23,LSA,2001-05-23,NF,00-00-00,,0
111,2001-05-23,LNA,00-00-00,,00-00-00,broken,0
112,2001-05-23,LNA,2001-05-23,NV,00-00-00,,0
113,2001-05-23,LNA,2001-05-23,F,00-00-00,,0
114,2001-05-23,LNA,2001-05-23,F,00-00-00,,0
115,2001-05-23,LNA,2001-05-23,NF,00-00-00,,0
116,2001-05-23,LNA,2001-05-23,NF,00-00-00,,0
129,2001-05-24,LSA,2001-06-01,NF,00-00-00,,0
130,2001-05-24,LNA,2001-06-01,NF,00-00-00,,0
135,2001-05-25,LNA,2001-06-01,X,00-00-00,broken,0
136,2001-05-25,LNA,2001-06-01,X,00-00-00,broken,0
137,2001-05-25,LSA,00-00-00,,00-00-00,broken,0
146,2001-05-26,LSA,2001-06-01,F,00-00-00,,0
147,2001-05-26,LNA,2001-06-01,F,00-00-00,,0
148,2001-05-26,LNA,00-00-00,,00-00-00,BROKEN,0
153,2001-05-27,LSA,2001-06-01,NF,00-00-00,,0
154,2001-05-27,LNA,00-00-00,,00-00-00,broken,0
155,2001-05-27,LNA,2001-06-01,F,00-00-00,,0
162,2001-05-28,LSA,2001-06-01,NF,00-00-00,,0
163,2001-05-28,LSA,2001-06-01,F,00-00-00,,0
164,2001-05-28,LSA,2001-06-01,F,00-00-00,,0
165,2001-05-28,LNA,2001-06-01,NV,00-00-00,,0
173,2001-05-29,LSA,2001-06-01,F,00-00-00,,0
174,2001-05-29,LNA,00-00-00,,00-00-00,broken,0
179,2001-05-30,LNA,2001-06-01,F,00-00-00,,0
185,2001-05-31,LSA,2001-06-01,NF,00-00-00,,0
186,2001-05-31,LSA,00-00-00,,00-00-00,broken,0
187,2001-05-31,LSA,00-00-00,,00-00-00,broken,0
188,2001-05-31,LNA,2001-06-01,F,00-00-00,,0
189,2001-05-31,LNA,2001-06-01,NV,00-00-00,,0
190,2001-05-31,LNA,00-00-00,,00-00-00,broken,0
192,1901-05-31,LNA,2001-06-01,F,00-00-00,,0
195,2001-06-01,LSA,2001-06-01,NF,00-00-00,,0
196,2001-06-01,LNA,2001-06-01,F,00-00-00,,0
202,2001-06-02,LNA,2001-06-08,NF,00-00-00,,0
210,2001-06-03,LSA,00-00-00,,00-00-00,broken,0
211,2001-06-03,LNA,00-00-00,,00-00-00,broken,0
217,2001-06-04,LNA,2001-06-08,F,00-00-00,,0
218,2001-06-04,LNA,2001-06-08,F,00-00-00,,0
225,2001-06-05,LNA,2001-06-08,F,00-00-00,,0
239,2001-06-06,LSA,00-00-00,,00-00-00,broken,0
240,2001-06-07,LSA,2001-06-08,F,00-00-00,,0
241,2001-06-07,LNA,2001-06-08,F,00-00-00,,0
248,2001-06-08,LSA,2001-06-08,X,00-00-00,broken,0
249,2001-06-08,LNA,2001-06-08,F,00-00-00,,0
251,2001-06-08,LNA,00-00-00,,00-00-00,broken,0
262,2001-06-09,LSA,2001-06-17,NF,00-00-00,,0
263,2001-06-09,LSA,2001-06-17,F,00-00-00,,0
264,2001-06-09,LNA,2001-06-17,NF,00-00-00,,0
265,2001-06-09,LNA,2001-06-17,NF,00-00-00,,0
266,2001-06-09,LNA,00-00-00,,00-00-00,broken,0
275,2001-06-09,LSA,2001-06-17,NF,00-00-00,,0
276,2001-06-10,LSA,2001-06-17,NF,00-00-00,,0
277,2001-06-10,LNA,2001-06-17,NF,00-00-00,,0
278,2001-06-10,LNA,2001-06-17,NF,00-00-00,,0
292,2001-06-11,LSA,2001-06-17,NF,00-00-00,,0
293,2001-06-11,LNA,00-00-00,,00-00-00,broken,0
294,2001-06-11,LNA,2001-06-17,NF,00-00-00,,0
295,2001-06-11,LNA,2001-06-17,NV,00-00-00,,0
296,2001-06-12,LNA,2001-06-17,F,00-00-00,,0
319,2001-06-13,LSA,2001-06-17,F,00-00-00,,0
320,2001-06-13,LNA,2001-06-17,X,00-00-00,broken,0
321,2001-06-13,LNA,2001-06-17,NF,00-00-00,,0
329,2001-06-14,LSA,2001-06-17,F,00-00-00,,0
330,2001-06-14,LNA,2001-06-17,NF,00-00-00,,0
338,2001-06-15,LSA,2001-06-17,NV,00-00-00,,0
339,2001-06-15,LSA,2001-06-17,NF,00-00-00,,0
340,2001-06-15,LSA,2001-06-17,NV,00-00-00,,0
341,2001-06-15,LNA,2001-06-17,NF,00-00-00,,0
349,2001-06-16,LSA,2001-06-17,F,00-00-00,,0
350,2001-06-16,LNA,2001-06-17,NV,00-00-00,,0
356,2001-06-17,LNA,2001-06-17,F,00-00-00,,0
363,2001-06-18,LSA,2001-06-26,NF,00-00-00,,0
364,2001-06-18,LNA,2001-06-26,NF,00-00-00,,0
365,2001-06-18,LNA,2001-06-26,NF,00-00-00,,0
370,2001-06-19,LSA,2001-06-26,NF,00-00-00,,0
378,2001-06-20,LSA,2001-06-26,NF,00-00-00,ground,0
379,2001-06-20,LSA,2001-06-26,NV,00-00-00,ground,0
380,2001-06-20,LNA,2001-06-26,NV,00-00-00,,0
385,2001-06-21,LSA,2001-06-26,F,00-00-00,ground,0
386,2001-06-21,LNA,2001-06-26,NF,00-00-00,,0
387,2001-06-21,LNA,2001-06-26,NF,00-00-00,,0
393,2001-06-22,LSA,2001-06-26,F,00-00-00,ground,0
394,2001-06-22,LNA,2001-06-26,F,00-00-00,,0
401,2001-06-23,LSA,2001-06-26,X,00-00-00,broken,0
402,2001-06-23,LNA,2001-06-26,F,00-00-00,,0
410,2001-06-25,LNA,00-00-00,,00-00-00,broken,0
411,2001-06-25,LNA,2001-06-26,NV,00-00-00,,0
414,2001-06-26,LNA,00-00-00,,00-00-00,broken,0
418,2001-06-26,LNA,2001-06-26,NV,00-00-00,,0
419,2001-06-26,LNA,2001-06-26,F,00-00-00,,0
424,2001-06-27,LSA,2001-07-03,NV,00-00-00,,0
425,2001-06-27,LNA,2001-07-03,NF,00-00-00,,0
426,2001-06-27,LNA,00-00-00,,00-00-00,broken,0
432,2001-06-28,LNA,2001-07-03,NV,00-00-00,,0
433,2001-06-28,LNA,2001-07-03,F,00-00-00,,0
435,2001-06-29,LNA,2001-07-03,F,00-00-00,,0
436,2001-06-29,LNA,2001-07-03,F,00-00-00,,0
444,2001-06-30,LNA,2001-07-03,F,00-00-00,,0
449,2001-07-01,LNA,2001-07-03,F,00-00-00,,0
452,2001-07-02,LNA,2001-07-03,NV,00-00-00,,0
