72,2008-05-23,M2,5-23-2008,NF,00-00-00,9,3.476,216,FOWD,8
73,2008-05-23,M3,5-23-2008,F,06-04-08,12,3.242,285,FOD,12
74,2008-05-23,M4,5-23-2008,F,00-00-00,16,3.024,384,F2RW,14
75,2008-05-23,M4,5-23-2008,NF,00-00-00,9,3.386,216,FRLR,14
76,2008-05-23,M4,5-23-2008,F,06-04-08,12,3.447,295,FBON,14
77,2008-05-24,M1,5-24-2008,F,06-04-08,11,2.939,261,FPOD,
78,2008-05-24,M1,5-24-2008,NF,00-00-00,9,2.497,216,FGOG,
79,2008-05-24,M2,5-24-2008,NF,00-00-00,9,3.545,216,FOY,
80,2008-05-24,M2,5-24-2008,F,06-04-08,11,2.804,276.3,FDR,
81,2008-05-24,M3,5-24-2008,F,06-05-08,12,2.901,288,FGYD,
82,2008-05-24,M1,00-00-00,X,00-00-00,0,0,0,FYBL,
83,2008-05-25,M1,5-25-2008,NF,00-00-00,9,3.306,216,FOGO,3
84,2008-05-25,M1,00-00-00,X,00-00-00,0,0,0,FYR,4
85,2008-05-25,M3,5-25-2008,NF,00-00-00,9,3.009,216,,
86,2008-05-26,M1,5-26-2008,F,06-06-08,11,2.891,269,FOGO,
87,2008-05-26,M1,5-26-2008,NF,00-00-00,9,2.26,216,FYR,
88,2008-05-26,M2,5-26-2008,F,06-07-08,12,3.174,289.3,FOWD,
89,2008-05-26,M4,5-26-2008,NF,00-00-00,9,3.47,216,FRLR,
90,2008-05-26,M4,5-26-2008,F,06-07-08,12,3.353,291,FBON,
91,2008-05-26,M2,00-00-00,X,00-00-00,0,0,0,,
92,2008-05-27,M1,5-27-2008,F,00-00-00,12,2.762,288,FYBL,3 - 3
93,2008-05-27,M1,5-27-2008,NF,00-00-00,9,2.896,216,FYR,1 - 3
94,2008-05-27,M2,5-27-2008,F,06-08-08,12,3.215,291.38,FOY,6 - NULL
95,2008-05-27,M3,5-27-2008,F,00-00-00,14,3.056,336,FGYD,10 - NULL
96,2008-05-27,M4,5-27-2008,F,06-08-08,12,3,290.3,FRLR,16 - 3
97,2008-05-27,M4,5-27-2008,NF,00-00-00,9,3.095,216,FBON,16 - 0
98,2008-05-27,M4,5-27-2008,F,06-08-08,12,3.033,291.58,,16 - 0
99,2008-05-28,M1,5-28-2008,F,06-08-08,11,2.908,272,FN2L,C2- 0
100,2008-05-28,M1,5-28-2008,F,00-00-00,13,2.371,312,FYBL,C1 - 2
101,2008-05-28,M2,00-00-00,X,00-00-00,0,0,0,FOLW,C6- 2
102,2008-05-28,M3,5-28-2008,F,06-09-08,12,3.103,285.81,FOD,C12 - 2
103,2008-05-28,M4,5-28-2008,F,06-09-08,9,2.981,227,FBON,C13 - 2
104,2008-05-28,M4,5-28-2008,NF,00-00-00,9,2.987,216,FGBD,C13- 2
105,2008-05-28,M2,00-00-00,X,00-00-00,0,0,0,FOY,C6 - 2
106,2008-05-29,M1,5-29-2008,NF,00-00-00,8,2.47,192,FOMG,C3 - 2W1C
107,2008-05-29,M1,5-29-2008,F,00-00-00,10,3.298,240,FYBL,C4 - 1
108,2008-05-29,M2,5-29-2008,F,00-00-00,10,3.196,240,FOY,C7 - 2W1C
109,2008-05-29,M2,5-29-2008,F,00-00-00,10,3.187,240,FOLW,C7 - 2W1C
110,2008-05-29,M3,5-29-2008,NF,00-00-00,10,3.038,240,,
111,2008-05-29,M3,5-29-2008,F,00-00-00,10,2.908,240,FGYD,C12 - 2W1C
112,2008-05-29,M3,5-29-2008,F,00-00-00,10,3.518,240,FNM,C12 - 2W1C
