2,21-05-17,08:46:57,DARWIN,MBWL,M2M,,08:54:52,
2,21-05-17,08:46:57,DARWIN,MLDW,male,leave,08:55:48,
2,21-05-17,08:46:57,DARWIN,MHWH,MMNL,,08:56:10,
2,21-05-17,08:46:57,DARWIN,MHWH,MPNH,,08:56:58,
2,21-05-17,08:46:57,DARWIN,M2M,,,08:57:09,
2,21-05-17,08:46:57,DARWIN,MLDW,male,leave,08:57:30,
2,21-05-17,08:46:57,DARWIN,MBWL,M2M,,08:58:31,
2,21-05-17,08:46:57,DARWIN,MGOP,MLDW,,08:58:40,
2,21-05-17,08:46:57,DARWIN,MBMY,MGHL,,08:58:57,
2,21-05-17,08:46:57,DARWIN,MGOP,MYHM,,08:59:34,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,rattle,09:00:28,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,,09:00:30,
2,21-05-17,08:46:57,DARWIN,MBMY,MHMO,,09:00:48, 
2,21-05-17,08:46:57,DARWIN,M2M,FLMW,,09:01:02,
2,21-05-17,08:46:57,DARWIN,M2M,FLMW,,09:01:22,
2,21-05-17,08:46:57,DARWIN,M2M,FLMW,,09:01:31,
2,21-05-17,08:46:57,DARWIN,MHWH,MGOP,,09:01:35,
2,21-05-17,08:46:57,DARWIN,MHMO,,,09:01:57,
2,21-05-17,08:46:57,DARWIN,MHMO,MRMO,,09:01:58,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,,09:02:21,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,,09:02:44,
2,21-05-17,08:46:57,DARWIN,MBWL,male,leave,09:02:44,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,rattle,09:03:03,
2,21-05-17,08:46:57,DARWIN,MGOP,FMYB,chase,09:03:05,
0,00-00-00,00:00:00,,MBMY,FNR,copulation,09:35:30,
0,00-00-00,00:00:00,,M2M,FLMW,copulation,10:54:51,
0,00-00-00,00:00:00,,M2M,FLMW,copulation,09:23:38,
0,00-00-00,00:00:00,,MMO,F2P,copulation,08:53:23,
3,22-05-17,08:14:19,COOP,MBMB,MMO,,08:14:47,
3,22-05-17,08:14:19,COOP,MMO,MBMB,,08:14:48,
3,22-05-17,08:14:19,COOP,MHLH,MHWM,leave,08:15:04,
3,22-05-17,08:14:19,COOP,MLN,MMPW,headdown,08:15:21,
3,22-05-17,08:14:19,COOP,MLN,FDLD,,08:17:46,
3,22-05-17,08:14:19,COOP,FYGB,rattle,,08:17:58,
3,22-05-17,08:14:19,COOP,MMPW,,,08:18:04,
3,22-05-17,08:14:19,COOP,MHLH,MOPR,,08:18:12,
3,22-05-17,08:14:19,COOP,MHWM,male,leave,08:18:18,
3,22-05-17,08:14:19,COOP,MBMB,female,leave,08:18:32,
3,22-05-17,08:14:19,COOP,MLN,FNYM,leave,08:19:13,
3,22-05-17,08:14:19,COOP,MMO,MBMB,,08:19:27,
3,22-05-17,08:14:19,COOP,MY,MMO,,08:19:35,
3,22-05-17,08:14:19,COOP,MBMB,MMO,,08:19:51,
3,22-05-17,08:14:19,COOP,MY,MMO,,08:19:52,
3,22-05-17,08:14:19,COOP,MMO,MBMB,,08:20:09,
3,22-05-17,08:14:19,COOP,FYGB,rattle,,08:20:32,
3,22-05-17,08:14:19,COOP,MLN,FOMG,,08:20:39,
3,22-05-17,08:14:19,COOP,MHLH,MMO,,08:20:51,
3,22-05-17,08:14:19,COOP,MLN,FDLD,,08:20:58,
3,22-05-17,08:14:19,COOP,MMPW,MPYW,,08:21:17,
3,22-05-17,08:14:19,COOP,MLN,female,leave,08:21:32,
3,22-05-17,08:14:19,COOP,MMPW,,,08:22:01,
3,22-05-17,08:14:19,COOP,MMO,F2P,rattle,08:22:09,
3,22-05-17,08:14:19,COOP,MHLH,FPWH,,08:22:22,
3,22-05-17,08:14:19,COOP,MMPW,MMO,,08:22:33,
3,22-05-17,08:14:19,COOP,MMO,F2P,,08:22:34,
3,22-05-17,08:14:19,COOP,MMO,F2P,,08:22:37,
3,22-05-17,08:14:19,COOP,MMPW,MY,,08:22:38,
3,22-05-17,08:14:19,COOP,MMO,F2P,,08:22:49,
3,22-05-17,08:14:19,COOP,MHLH,MHWM,,08:22:55,
3,22-05-17,08:14:19,COOP,MHLH,MHWM,,08:23:16,
3,22-05-17,08:14:19,COOP,MY,FYLB,,08:23:36,
3,22-05-17,08:14:19,COOP,MY,MMO,,08:24:30,
3,22-05-17,08:14:19,COOP,MPYW,,,08:24:55,
3,22-05-17,08:14:19,COOP,MHLH,FPWH,,08:25:11,
3,22-05-17,08:14:19,COOP,MHLH,FPWH,rattle,08:25:12,
3,22-05-17,08:14:19,COOP,MHWM,FPWH,,08:25:14,
3,22-05-17,08:14:19,COOP,FPWH,rattle,,08:25:24,
3,22-05-17,08:14:19,COOP,MHWM,FPWH,rattle,08:25:30,
3,22-05-17,08:14:19,COOP,MY,FYLB,,08:25:43,
3,22-05-17,08:14:19,COOP,MPYW,FBNB,,08:27:13,
3,22-05-17,08:14:19,COOP,MMPW,MOPR,,08:27:35,
3,22-05-17,08:14:19,COOP,MLN,male,leave,08:28:01,
3,22-05-17,08:14:19,COOP,MHLH,male,leave,08:28:06,
3,22-05-17,08:14:19,COOP,MHLH,FRWM,,08:28:19,
3,22-05-17,08:14:19,COOP,MMO,MBMB,,08:28:25,
3,22-05-17,08:14:19,COOP,MHLH,MMPW,,08:28:35,
3,22-05-17,08:14:19,COOP,FRWM,FOMG,leave,08:28:58,
3,22-05-17,08:14:19,COOP,MY,male,leave,08:29:13,
3,22-05-17,08:14:19,COOP,MLN,FOMG,,08:29:23,
3,22-05-17,08:14:19,COOP,MMPW,,,08:29:37,
4,22-05-17,08:29:53,COOP,MY,,,08:30:38,
4,22-05-17,08:29:53,COOP,MMPW,MMO,follow,08:31:00,
4,22-05-17,08:29:53,COOP,MMO,MOPR,,08:31:07,
4,22-05-17,08:29:53,COOP,MMPW,MMO,,08:31:14,
4,22-05-17,08:29:53,COOP,MMPW,MMO,,08:31:25,
4,22-05-17,08:29:53,COOP,MMO,MMPW,,08:31:33,
4,22-05-17,08:29:53,COOP,FYGB,rattle,,08:31:36,
4,22-05-17,08:29:53,COOP,FYGB,rattle,,08:31:52,
4,22-05-17,08:29:53,COOP,MY,FRLP,,08:32:30,
4,22-05-17,08:29:53,COOP,MY,FRLP,lunge,08:32:37,
4,22-05-17,08:29:53,COOP,MY,FRLP,leave,08:32:55,
4,22-05-17,08:29:53,COOP,MHLH,female,leave,08:33:41,
4,22-05-17,08:29:53,COOP,MMPW,male,leave,08:33:58,
4,22-05-17,08:29:53,COOP,FYGB,rattle,,08:34:39,
4,22-05-17,08:29:53,COOP,MY,,,08:34:13,
4,22-05-17,08:29:53,COOP,MLN,FNYM,,08:35:28,
4,22-05-17,08:29:53,COOP,FNYM,rattle,,08:35:33,
4,22-05-17,08:29:53,COOP,MHLH,FPWH,rattle,08:35:34,
4,22-05-17,08:29:53,COOP,MHLH,FPWH,rattle,08:35:53,
4,22-05-17,08:29:53,COOP,MY,female,leave,08:36:07,
4,22-05-17,08:29:53,COOP,MHLH,FPWH,,08:36:26,
4,22-05-17,08:29:53,COOP,MHLH,FPWH,follow,08:38:16,
4,22-05-17,08:29:53,COOP,MMPW,female,follow,08:38:35,
4,22-05-17,08:29:53,COOP,MMO,MBMB,,08:38:55,
4,22-05-17,08:29:53,COOP,MLN,MBMB,,08:39:01,
4,22-05-17,08:29:53,COOP,MBMB,FNYM,,08:39:02,
4,22-05-17,08:29:53,COOP,MY,MBMB,,08:40:05,
4,22-05-17,08:29:53,COOP,MHLH,male,leave,08:40:43,
4,22-05-17,08:29:53,COOP,MHLH,FPWH,,08:43:39,
4,22-05-17,08:29:53,COOP,MMO,F2P,,08:43:52,
4,22-05-17,08:29:53,COOP,MBMB,MLN,,08:44:12,
4,22-05-17,08:29:53,COOP,MLN,MBMB,,08:44:14,
4,22-05-17,08:29:53,COOP,MLN,MBMB,,08:44:15,
4,22-05-17,08:29:53,COOP,MMO,FYGB,rattle,08:44:25,
4,22-05-17,08:29:53,COOP,MBMB,MHLH,,08:44:42,
4,22-05-17,08:29:53,COOP,MHLH,MBMB,,08:44:44,
4,22-05-17,08:29:53,COOP,MY,female,leave,08:44:55,
4,22-05-17,08:29:53,COOP,MLN,FOMG,,08:45:15,
4,22-05-17,08:29:53,COOP,MMPW,FPLH,,08:45:36,
5,22-05-17,08:49:49,COOP,MMPW,FPLH,,08:50:31,
5,22-05-17,08:49:49,COOP,MMPW,FPLH,,08:50:32,
5,22-05-17,08:49:49,COOP,MHLH,FPWH,,08:50:41,
5,22-05-17,08:49:49,COOP,MBMB,female,leave,08:51:18,
5,22-05-17,08:49:49,COOP,MHLH,male,leave,08:51:26,
5,22-05-17,08:49:49,COOP,MY,,,08:51:27,
5,22-05-17,08:49:49,COOP,MMPW,,,08:51:39,
5,22-05-17,08:49:49,COOP,MLN,FNYM,,08:51:45,
5,22-05-17,08:49:49,COOP,MPYW,MBMB,,08:52:00,
5,22-05-17,08:49:49,COOP,FRWM,male,leave,08:52:11,
5,22-05-17,08:49:49,COOP,MLN,female,leave,08:52:30,
5,22-05-17,08:49:49,COOP,MMPW,FPLH,,08:52:33,
5,22-05-17,08:49:49,COOP,MY,female,leave,08:52:42,
5,22-05-17,08:49:49,COOP,MMPW,FPLH,,08:52:50,
5,22-05-17,08:49:49,COOP,MLN,,,08:52:56,
5,22-05-17,08:49:49,COOP,MY,,,08:53:03,
5,22-05-17,08:49:49,COOP,MHLH,FPWH,,08:53:07,
5,22-05-17,08:49:49,COOP,FPWH,FPLH,rattle,08:53:16,
5,22-05-17,08:49:49,COOP,MHWM,FPLH,rattle,08:53:17,
5,22-05-17,08:49:49,COOP,MLN,FYLB,,08:53:31,
5,22-05-17,08:49:49,COOP,MMPW,,,08:53:53,
5,22-05-17,08:49:49,COOP,FYGB,rattle,,08:54:13,
5,22-05-17,08:49:49,COOP,MMPW,MMO,,08:54:20,
5,22-05-17,08:49:49,COOP,FYGB,rattle,,08:54:30,
