"","Treatment","count","numTrials","prop","sem"
"1","aControl",35,265,0.132075471698113,0.0351124053930701
"2","BPChatter",11.5,270,0.0425925925925926,0.0226760129961116
"3","Chatter",3,268,0.0111940298507463,0.00808452083454443
"4","WhiteNoise",5.5,263,0.0209125475285171,0.0185080947498341
