71,2009-05-13,M6,00-00-00,X,00-00-00,0,0,0,FPBM,
72,2009-05-15,M6,2009-05-15,F,09-05-27,12,3.018,294.3,FPBM,
73,2009-05-15,M6,2009-05-15,F,00-00-00,3244,3.165,77856,FR2G,
74,2009-05-15,M8,2009-05-15,NF,00-00-00,13,3.003,312,FOGO,
75,2009-05-15,M8,00-00-00,X,00-00-00,0,0,0,FBNM,
76,2009-05-16,M6,2009-05-16,F,00-00-00,14,2.909,336,FYBL,9
77,2009-05-16,M6,00-00-00,X,00-00-00,0,0,0,FR2G,10
78,2009-05-16,M8,2009-05-16,F,00-00-00,14,3.251,336,FOWD,7
79,2009-05-16,M8,2009-05-16,X,00-00-00,0,2.95,0,FRBR,8
80,2009-05-17,M6,00-00-00,X,00-00-00,0,0,0,FRLR,11
81,2009-05-17,M6,2009-05-17,F,00-00-00,13,3.085,312,FR2G,11
82,2009-05-17,M6,2009-05-17,X,00-00-00,0,2.463,0,?,12
83,2009-05-17,M8,2009-05-17,NF,00-00-00,13,3.158,312,FO2R,5
84,2009-05-17,M2,00-00-00,X,00-00-00,0,0,0,,
85,2009-05-17,M2,2009-05-17,NF,00-00-00,13,3.166,312,,
86,2009-05-18,M6,2009-05-18,F,00-00-00,14,3.155,336,?,9
87,2009-05-18,M6,2009-05-18,F,00-00-00,14,3.019,336,FPOD,10
88,2009-05-18,M8,2009-05-18,NF,00-00-00,12,3.209,288,?,7
89,2009-05-18,M8,2009-05-18,X,00-00-00,0,2.911,0,?,8
90,2009-05-18,M8,2009-05-18,NF,00-00-00,12,3.437,288,?,8
91,2009-05-18,M8,2009-05-18,?,00-00-00,3241,2.818,77784,?,8
92,2009-05-18,M2,2009-05-18,NF,00-00-00,12,2.909,288,,
93,2009-05-19,M6,2009-05-19,NF,00-00-00,11,2.844,264,FPBM?,12
94,2009-05-19,M6,2009-05-19,NF,00-00-00,11,3.023,264,FGOG,12
95,2009-05-19,M6,2009-05-19,NF,00-00-00,11,3.083,264,FRLR,10
96,2009-05-19,M6,2009-05-19,F,00-00-00,13,2.815,312,FR2G,11
97,2009-05-19,M6,2009-05-19,NF,00-00-00,13,2.649,312,FYBL,11
98,2009-05-19,M8,2009-05-19,NF,00-00-00,11,2.891,264,FOGO,5
99,2009-05-19,M8,2009-05-19,F,00-00-00,13,2.869,312,FBMN,C7
100,2009-05-19,M8,2009-05-19,NF,00-00-00,11,2.669,264,FOMG,7
