FNM,rattle,,08:09:24,,10-04-27,M7
FLOY,rattle,,08:09:59,,10-04-27,M7
FO2R,rattle,,08:10:12,,10-04-27,M7
MMG,FLOY,,08:10:28,,10-04-27,M7
FLOY,rattle,,08:10:28,,10-04-27,M7
MMG,FLOY,depart,00:00:00,,10-04-27,M7
MRBG,MMD,,08:10:57,,10-04-27,M7
FNM,rattle,,08:11:06,,10-04-27,M7
FLOY,rattle,,00:00:00,,10-04-27,M7
MGRG,FLD,leave,00:00:00,,10-04-27,M7
MGRG,FEMALE,leave,00:00:00,,10-04-27,M7
FLOY,rattle,,08:12:01,,10-04-27,M7
MGRG,MND,,08:12:16,,10-04-27,M7
MDBR,FO2R,,08:12:27,,10-04-27,M7
MGRG,MND,,08:12:33,,10-04-27,M7
FLOY,rattle,,08:12:37,,10-04-27,M7
FLOY,rattle,,08:12:49,,10-04-27,M7
FLOY,rattle,,08:13:04,,10-04-27,M7
MDBR,MND,,08:13:18,,10-04-27,M7
FNM,rattle,,08:13:44,,10-04-27,M7
MGRG,MMD,,08:14:08,,10-04-27,M7
FLOY,rattle,,08:14:12,,10-04-27,M7
MGRG,MND,,08:14:19,,10-04-27,M7
FLOY,rattle,,08:14:29,,10-04-27,M7
MGRG,MMD,,08:14:47,,10-04-27,M7
FLOY,rattle,,08:14:51,,10-04-27,M7
FNM,rattle,,08:15:13,,10-04-27,M7
MRLW,MND,leave,08:15:20,,10-04-27,M7
MDBR,FYBL,leave,08:34:14,,10-04-27,M7
MDBR,FOY,depart,08:34:32,,10-04-27,M7
FNM,rattle,,08:34:43,,10-04-27,M7
FLOY,rattle,,08:34:49,,10-04-27,M7
MGRG,MND,,08:34:55,,10-04-27,M7
FNM,rattle,,08:35:03,,10-04-27,M7
MDBR,FOY,,08:35:11,,10-04-27,M7
MRLW,MNDO,,08:35:18,,10-04-27,M7
MDBR,FOY,,08:35:22,,10-04-27,M7
FNM,rattle,,08:35:43,,10-04-27,M7
FLWD,rattle,,08:36:01,,10-04-27,M7
MMG,MGRG,,08:36:16,,10-04-27,M7
MRLW,MNDO,,08:36:23,,10-04-27,M7
FNM,rattle,,00:00:00,,10-04-27,M7
FLOY,rattle,,08:36:42,,10-04-27,M7
MRBG,FEMALE,,08:36:57,,10-04-27,M7
MMG,FLOY,leave,00:00:00,,10-04-27,M7
FLOY,rattle,,00:00:00,,10-04-27,M7
MGRG,MNDO,,08:37:17,,10-04-27,M7
FLOY,rattle,,08:37:26,,10-04-27,M7
FNM,rattle,,08:37:35,,10-04-27,M7
MMG,MDBR,,08:37:47,,10-04-27,M7
FNM,rattle,,08:37:51,,10-04-27,M7
MRBG,FNM,,08:38:06,,10-04-27,M7
FNM,rattle,,08:38:10,,10-04-27,M7
FLOY,MMG,rattle,08:38:27,,10-04-27,M7
FLOY,MMG,rattle,08:38:33,,10-04-27,M7
MMG,FLOY,leave,08:38:44,,10-04-27,M7
MMG,MRLW,,08:39:04,,10-04-27,M7
MRBG,MGM,,08:39:15,,10-04-27,M7
MRLW,MMG,,08:39:21,,10-04-27,M7
MMG,,,08:39:23,,10-04-27,M7
MMG,MRLW,,08:39:42,,10-04-27,M7
MRLW,MNDO,,08:39:49,,10-04-27,M7
MRLW,,,08:40:46,,10-04-27,M7
MRBG,MMG,leave,08:41:04,,10-04-27,M7
FNM,rattle,,08:41:12,,10-04-27,M7
FNM,MRBG,rattle,08:41:19,,10-04-27,M7
MRBG,FNM,,08:41:28,,10-04-27,M7
FNM,MRBG,rattle,08:41:29,,10-04-27,M7
MGRG,MMG,,08:41:39,,10-04-27,M7
MNDO,MALE,,08:41:49,,10-04-27,M7
FNM,rattle,,08:42:01,,10-04-27,M7
MMG,MNDO,leave,08:42:21,,10-04-27,M7
MMG,MGRG,,08:42:31,,10-04-27,M7
MDBR,MALE,,08:42:39,,10-04-27,M7
MGRG,MNDO,,08:42:51,,10-04-27,M7
MGRG,MALE,,08:43:03,,10-04-27,M7
MMG,FLOY,,08:43:23,,10-04-27,M7
MGRG,MNDO,,08:43:48,,10-04-27,M7
MDBR,MALE,,00:00:00,,10-04-27,M7
MGRG,MNDO,,08:44:20,,10-04-27,M7
FLOY,rattle,,08:44:23,,10-04-27,M7
MDBR,MND,depart,08:44:31,,10-04-27,M7
FLOY,rattle,,08:44:44,,10-04-27,M7
FNM,rattle,,08:44:57,,10-04-27,M7
FLOY,rattle,,00:00:00,,10-04-27,M7
MRLW,MNDO,,08:46:23,,10-04-27,M7
MDBR,MALE,,00:00:00,,10-04-27,M7
MGRG,MMD,,08:46:39,,10-04-27,M7
FLWD,rattle,,08:47:27,,10-04-27,M7
MGRG,FLD,,08:47:40,,10-04-27,M7
FLWD,FRW,leave,08:48:01,,10-04-27,M7
FLOY,rattle,,08:48:28,,10-04-27,M7
MRBG,MMD,,09:02:28,,10-04-27,M7
MRBG,MMD,,09:02:46,,10-04-27,M7
MMG,MNDO,,09:03:01,,10-04-27,M7
MRBG,MMD,,09:03:08,,10-04-27,M7
MMG,MGRG,,09:03:20,,10-04-27,M7
MDBR,FLWD,,09:03:54,,10-04-27,M7
MMG,FO2R,leave,00:00:00,,10-04-27,M7
MGRG,MALE,,09:04:11,,10-04-27,M7
MDBR,MGM,,09:04:23,,10-04-27,M7
MGRG,MMG,,09:04:37,,10-04-27,M7
MMG,MGRG,,09:04:48,,10-04-27,M7
MGRG,MGM,,09:04:59,,10-04-27,M7
MDBR,FO2R,leave,00:00:00,,10-04-27,M7
MRBG,MMD,leave,00:00:00,,10-04-27,M7
MRBG,FLWD,,09:05:28,,10-04-27,M7
MMG,FLOY,,09:05:37,,10-04-27,M7
FLOY,MMG,rattle,09:05:37,,10-04-27,M7
MDBR,MALE,leave,09:05:42,,10-04-27,M7
MDBR,FYBL,,09:06:13,,10-04-27,M7
FYBL,MDBR,rattle,00:00:00,,10-04-27,M7
FLOY,MMG,rattle,09:06:26,,10-04-27,M7
MMG,FLOY,,09:06:35,,10-04-27,M7
FLOY,MMG,rattle,09:06:35,,10-04-27,M7
MGRG,FLD,,09:06:50,,10-04-27,M7
MRLW,F2MB,,09:07:03,,10-04-27,M7
MMG,MRLW,,09:07:15,,10-04-27,M7
FNM,rattle,,09:07:22,,10-04-27,M7
MRLW,MMG,,09:07:32,,10-04-27,M7
MMG,MRLW,,09:07:33,,10-04-27,M7
MNDO,MALE,,09:07:50,,10-04-27,M7
MDBR,MALE,,09:08:14,,10-04-27,M7
MRBG,MDBR,leave,09:08:31,,10-04-27,M7
MMG,MRLW,,09:08:43,,10-04-27,M7
MRLW,MMG,,09:08:47,,10-04-27,M7
MDBR,FOY,leave,09:09:16,,10-04-27,M7
MGRG,FLD,,09:09:26,,10-04-27,M7
MGRG,FLD,leave,00:00:00,,10-04-27,M7
FLOY,MMG,rattle,09:10:00,,10-04-27,M7
MMG,FLOY,,09:10:05,,10-04-27,M7
MMG,FLOY,,09:10:11,,10-04-27,M7
FLOY,MMG,rattle,09:10:11,,10-04-27,M7
FLOY,MMG,rattle,09:10:19,,10-04-27,M7
MMG,FLOY,rattle,09:10:20,,10-04-27,M7
MGRG,MND,,09:10:37,,10-04-27,M7
MRLW,MMG,,09:11:02,,10-04-27,M7
MMG,MRLW,,09:11:02,,10-04-27,M7
MRLW,MMG,,09:11:09,,10-04-27,M7
MNDO,MGM,depart,09:11:23,,10-04-27,M7
MRLW,MMG,,09:11:34,,10-04-27,M7
MMG,MRLW,,09:11:44,,10-04-27,M7
MRLW,MGRG,,09:12:49,,10-04-27,M7
MRLW,MALE,,09:13:06,,10-04-27,M7
FLOY,rattle,,09:13:14,,10-04-27,M7
MRLW,,,09:13:26,,10-04-27,M7
MRLW,MNDO,depart,09:13:39,,10-04-27,M7
MMG,MGRG,leave,09:13:47,,10-04-27,M7
FLOY,rattle,,09:14:08,,10-04-27,M7
FOY,rattle,,09:14:13,,10-04-27,M7
FLOY,rattle,,09:14:29,,10-04-27,M7
MMG,FLOY,,09:14:45,,10-04-27,M7
FLOY,MMG,rattle,00:00:00,,10-04-27,M7
MMG,FLOY,,09:14:50,,10-04-27,M7
FLOY,rattle,,09:14:51,,10-04-27,M7
FLOY,rattle,,09:14:56,,10-04-27,M7
MMG,MALE,,09:15:21,,10-04-27,M7
MDBR,MALE,,09:15:49,,10-04-27,M7
MDBR,FLWD,,09:16:01,,10-04-27,M7
MGRG,FLD,,09:16:25,,10-04-27,M7
FLOY,MMG,rattle,09:16:41,,10-04-27,M7
MMG,FLOY,,09:16:44,,10-04-27,M7
MMG,FLOY,,09:16:51,,10-04-27,M7
FLOY,MMG,rattle,00:00:00,,10-04-27,M7
MMG,FLOY,,09:17:20,,10-04-27,M7
FLOY,MMG,rattle,09:17:21,,10-04-27,M7
MGRG,FLD,leave,10:28:09,,10-05-02,M7
MNDO,MGRG,,10:28:41,,10-05-02,M7
MRLW,MGRG,,10:28:53,,10-05-02,M7
MRLW,MRBG,,10:28:58,,10-05-02,M7
MRBG,MRLW,,10:29:03,,10-05-02,M7
MDBR,FLOY,leave,10:29:48,,10-05-02,M7
MNDO,FNM,,10:30:36,,10-05-02,M7
MMG,MGRG,,10:30:53,,10-05-02,M7
MGRG,MMG,,10:30:55,,10-05-02,M7
MMG,MGRG,,10:30:59,,10-05-02,M7
MGRG,MNDO,,10:31:13,,10-05-02,M7
MDBR,FOY,leave,10:32:08,,10-05-02,M7
MDBR,MMG,,10:32:40,,10-05-02,M7
MDBR,MMG,,10:32:45,,10-05-02,M7
MDBR,MNDO,,10:33:13,,10-05-02,M7
MDBR,FOY,,10:33:23,,10-05-02,M7
MNDO,MALE,,10:34:11,,10-05-02,M7
MDBR,MGRG,,10:34:19,,10-05-02,M7
MGRG,MNDO,,10:34:23,,10-05-02,M7
MDBR,MRLW,,10:34:32,,10-05-02,M7
MRLW,MDBR,,10:34:37,,10-05-02,M7
MRLW,MDBR,,10:34:40,,10-05-02,M7
MDBR,MRLW,,10:34:48,,10-05-02,M7
MMG,MNDO,,10:35:05,,10-05-02,M7
MRLW,MDBR,,10:35:08,,10-05-02,M7
MNDO,MMG,,10:35:22,,10-05-02,M7
MDBR,MRLW,,10:35:25,,10-05-02,M7
MGRG,,,10:35:31,,10-05-02,M7
MDBR,MMG,,10:35:37,,10-05-02,M7
MGRG,MNDO,,10:36:08,,10-05-02,M7
MNDO,MGRG,,10:36:16,,10-05-02,M7
MGRG,MNDO,,10:36:18,,10-05-02,M7
MRLW,,,10:36:47,,10-05-02,M7
FLOY,rattle,,10:37:39,,10-05-02,M7
MDBR,FOY,,10:38:18,,10-05-02,M7
MDBR,FOY,leave,10:38:25,,10-05-02,M7
MGRG,MGM,,10:38:37,,10-05-02,M7
MGRG,MGM,,10:38:45,,10-05-02,M7
MRBG,MMG,,10:39:01,,10-05-02,M7
MMG,MRBG,,10:39:13,,10-05-02,M7
MRBG,MMG,,10:39:16,,10-05-02,M7
FGOG,rattle,,10:41:12,,10-05-02,M7
MGRG,FEMALE,leave,10:41:25,,10-05-02,M7
MMD,MGM,,10:42:38,,10-05-02,M7
MDBR,FEMALE,leave,10:50:56,,10-05-02,M7
MDBR,FYBL,leave,10:52:29,,10-05-02,M7
MGRG,MRBG,,10:52:38,,10-05-02,M7
FLOY,rattle,,10:52:55,,10-05-02,M7
FLOY,rattle,,10:52:59,,10-05-02,M7
MRBG,MMD,,10:53:52,,10-05-02,M7
MRBG,MMG,,10:53:59,,10-05-02,M7
MRBG,MMG,,10:55:15,,10-05-02,M7
MRLW,MDBR,,10:55:25,,10-05-02,M7
MRLW,MDBR,,10:55:41,,10-05-02,M7
MRLW,MDBR,,10:56:11,,10-05-02,M7
MRLW,MMD,,10:57:22,,10-05-02,M7
MND,MRLW,,10:57:25,,10-05-02,M7
MRLW,MDBR,,10:57:29,,10-05-02,M7
MDBR,MMD,,10:57:33,,10-05-02,M7
MMG,MDBR,,10:57:48,,10-05-02,M7
FLOY,rattle,,10:58:33,,10-05-02,M7
FLOY,rattle,,10:58:37,,10-05-02,M7
FLOY,rattle,,10:58:40,,10-05-02,M7
FLOY,rattle,,10:58:48,,10-05-02,M7
FLOY,rattle,,10:58:56,,10-05-02,M7
FLOY,rattle,,10:59:05,,10-05-02,M7
FLOY,rattle,,10:59:24,,10-05-02,M7
FLOY,rattle,,10:59:47,,10-05-02,M7
FLOY,rattle,,10:59:56,,10-05-02,M7
FLOY,rattle,,11:00:05,,10-05-02,M7
MDBR,FOY,,11:01:43,,10-05-02,M7
MDBR,FLWD,,11:02:01,,10-05-02,M7
MRLW,MDBR,,11:02:46,,10-05-02,M7
FLOY,rattle,,11:03:31,,10-05-02,M7
FLOY,rattle,,11:03:42,,10-05-02,M7
FLOY,rattle,,11:03:50,,10-05-02,M7
FLOY,rattle,,11:04:00,,10-05-02,M7
MRBG,FLWD,,11:04:10,,10-05-02,M7
FLOY,rattle,,11:04:21,,10-05-02,M7
FLOY,rattle,,11:04:31,,10-05-02,M7
FLOY,rattle,,11:04:43,,10-05-02,M7
FLOY,rattle,,11:05:01,,10-05-02,M7
MRLW,MRBG,,11:05:10,,10-05-02,M7
MRLW,MRBG,,11:05:16,,10-05-02,M7
MRBG,MDBR,,11:05:33,,10-05-02,M7
MGM,MGRG,,11:05:42,,10-05-02,M7
MRLW,MDBR,,11:05:46,,10-05-02,M7
MGRG,MNDO,,11:17:17,,10-05-02,M7
MRLW,,,11:17:26,,10-05-02,M7
MMG,MGM,,11:17:35,,10-05-02,M7
MDBR,MNDO,,11:18:03,,10-05-02,M7
MRLW,,,11:18:41,,10-05-02,M7
MRBG,FLWD,leave,11:19:15,,10-05-02,M7
MRBG,FLWD,leave,11:19:40,,10-05-02,M7
MNDO,,,11:20:01,,10-05-02,M7
MGRG,,,11:21:15,,10-05-02,M7
MMG,,,11:21:48,,10-05-02,M7
MMG,FLOY,,11:21:54,,10-05-02,M7
FLOY,rattle,,11:21:54,,10-05-02,M7
MMG,FLOY,rattle,11:21:59,,10-05-02,M7
MRBG,,,11:23:15,,10-05-02,M7
MRBG,MRLW,,11:23:17,,10-05-02,M7
MRBG,MRLW,,11:23:52,,10-05-02,M7
FLOY,rattle,,11:24:06,,10-05-02,M7
MGRG,MNDO,,11:24:42,,10-05-02,M7
FLOY,rattle,,11:24:58,,10-05-02,M7
MGRG,FRW,leave,11:25:16,,10-05-02,M7
FLOY,rattle,,11:25:26,,10-05-02,M7
FLOY,rattle,,11:25:29,,10-05-02,M7
FLOY,rattle,,11:25:44,,10-05-02,M7
FLOY,rattle,,11:25:53,,10-05-02,M7
MGRG,FEMALE,leave,11:26:22,,10-05-02,M7
MGRG,FGOG,leave,11:26:46,,10-05-02,M7
MNDO,MMD,,11:27:38,,10-05-02,M7
MGRG,MNDO,,11:27:50,,10-05-02,M7
